Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 43,2382128200.0000,0.0000,2388947400.0000,0.0000
Test 44,2386231800.0000,0.0000,2385136700.0000,0.0000
Test 45,2390043100.0000,0.0000,2394881000.0000,0.0000
Test 46,2371485900.0000,0.0000,2380971700.0000,0.0000
Test 47,2384596800.0000,0.0000,2392039700.0000,0.0000
Test 48,2383595900.0000,0.0000,2381734300.0000,0.0000
Test 49,2382181300.0000,0.0000,2386394800.0000,0.0000
Test 50,2384561000.0000,0.0000,2381533600.0000,0.0000
Test 51,2384158000.0000,0.0000,2389191800.0000,0.0000
Test 52,2392044600.0000,0.0000,2390652000.0000,0.0000
Test 53,2381784000.0000,0.0000,2389537400.0000,0.0000
Test 54,2373533800.0000,0.0000,2529024500.0000,0.0000
Test 55,2716210000.0000,0.0000,2509362400.0000,0.0000
Test 56,2519217000.0000,0.0000,2453600200.0000,0.0000
Test 57,2445850800.0000,0.0000,2435776800.0000,0.0000
Test 58,2441950400.0000,0.0000,2433049500.0000,0.0000
Test 59,2426931700.0000,0.0000,2401085500.0000,0.0000
Test 60,2386044700.0000,1000000.0000,2400539200.0000,0.0000
Test 61,2395894700.0000,0.0000,2381990200.0000,0.0000
Test 62,2378425800.0000,0.0000,2382673800.0000,0.0000
Test 63,2391231200.0000,0.0000,2389407700.0000,0.0000
Test 64,2387319600.0000,0.0000,2381565100.0000,0.0000
Test 65,2388409400.0000,0.0000,2375158700.0000,0.0000
Test 66,2376667600.0000,0.0000,2393105600.0000,0.0000
Test 67,2384040500.0000,0.0000,2389930800.0000,0.0000
Test 68,2380739400.0000,1000200.0000,2383102900.0000,0.0000
Test 69,2379827400.0000,0.0000,2375365100.0000,0.0000
Test 70,2389568600.0000,0.0000,2387221100.0000,0.0000
Test 71,2386718300.0000,0.0000,2392791200.0000,0.0000
Test 72,2384249000.0000,0.0000,2371147700.0000,0.0000
Test 73,2389339700.0000,0.0000,2400396500.0000,0.0000
Test 74,2390455200.0000,0.0000,2399917300.0000,0.0000
Test 75,2381384300.0000,0.0000,2388040000.0000,0.0000
Test 76,2382587500.0000,0.0000,2387536700.0000,0.0000
Test 77,2384545500.0000,0.0000,2381724400.0000,0.0000
Test 78,2382955100.0000,0.0000,2384168300.0000,0.0000
Test 79,2389120400.0000,0.0000,2385423000.0000,0.0000
Test 80,2379906900.0000,0.0000,2382003000.0000,0.0000
Test 81,2380793300.0000,0.0000,2382297000.0000,0.0000
Test 82,2373679400.0000,0.0000,2389144000.0000,0.0000
Test 83,2386676700.0000,0.0000,2378850500.0000,0.0000
Test 84,2384175100.0000,0.0000,2376305400.0000,0.0000
Test 85,2406544000.0000,0.0000,2395270900.0000,0.0000
Test 86,2375100700.0000,0.0000,2384148800.0000,0.0000
Test 87,2384777300.0000,0.0000,2385677000.0000,0.0000
Test 88,2386310900.0000,0.0000,2385107000.0000,0.0000
Test 89,2389057800.0000,0.0000,2375577500.0000,0.0000
Test 90,2377385800.0000,0.0000,2388882900.0000,0.0000
Test 91,2385737700.0000,0.0000,2384572700.0000,0.0000
Test 92,2386492800.0000,0.0000,2391420600.0000,0.0000
Test 93,2385651000.0000,1000600.0000,2383050300.0000,0.0000
Test 94,2386462500.0000,0.0000,2393320500.0000,0.0000
Test 95,2384062100.0000,0.0000,2377257800.0000,0.0000
Test 96,2384581600.0000,0.0000,2388530900.0000,1000000.0000
Test 97,2392900500.0000,0.0000,2383313200.0000,0.0000
Test 98,2394139700.0000,0.0000,2385010200.0000,0.0000
Test 99,2388270900.0000,0.0000,2387158500.0000,0.0000
Test 100,2383184300.0000,1000300.0000,2384769500.0000,0.0000
