Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 198,0.0000,0.0000,0.0000,0.0000
Test 199,0.0000,0.0000,505600.0000,0.0000
Test 200,0.0000,0.0000,0.0000,0.0000
Test 201,0.0000,0.0000,0.0000,0.0000
Test 202,0.0000,0.0000,0.0000,0.0000
Test 203,0.0000,0.0000,0.0000,0.0000
Test 204,0.0000,0.0000,0.0000,0.0000
Test 205,0.0000,0.0000,0.0000,0.0000
Test 206,0.5055,0.0000,0.0000,0.0000
Test 207,0.0000,0.0000,0.0000,0.0000
Test 208,0.0000,0.0000,0.0000,0.0000
Test 209,0.0000,0.0000,0.0000,0.0000
Test 210,0.0000,0.0000,0.0000,0.0000
Test 211,0.0000,0.0000,0.0000,0.0000
Test 212,0.0000,0.0000,4100.0000,0.0000
Test 213,0.0000,0.0000,0.0000,0.0000
Test 214,0.0000,0.0000,0.0000,0.0000
Test 215,0.0000,0.0000,0.0000,0.0000
Test 216,0.0000,0.0000,0.0000,0.0000
Test 217,0.0000,0.0000,0.0000,0.0000
Test 218,0.0000,0.0000,0.0000,0.0000
Test 219,0.5054,0.0000,0.0000,0.0000
Test 220,0.0000,0.0000,0.0000,0.0000
Test 221,0.0000,0.0000,0.0000,0.0000
Test 222,0.0000,0.0000,0.0000,0.0000
Test 223,0.0000,0.0000,0.0000,0.0000
Test 224,0.0000,0.0000,0.0000,0.0000
Test 225,0.0000,0.0000,506800.0000,0.0000
Test 226,0.0000,0.0000,0.0000,0.0000
Test 227,0.0000,0.0000,0.0000,0.0000
Test 228,0.0000,0.0000,0.0000,0.0000
Test 229,0.0000,0.0000,0.0000,0.0000
Test 230,0.0000,0.0000,0.0000,0.0000
Test 231,0.0000,0.0000,0.0000,0.0000
Test 232,0.0000,0.0000,0.0000,0.0000
Test 233,0.0000,0.0000,0.0000,0.0000
Test 234,0.0000,0.0000,0.0000,0.0000
Test 235,0.0000,0.0000,0.0000,0.0000
Test 236,0.0000,0.0000,0.0000,0.0000
Test 237,0.0000,0.0000,0.0000,0.0000
Test 238,0.0000,0.0000,0.0000,0.0000
Test 239,0.5267,0.0000,0.0000,0.0000
Test 240,0.0000,0.0000,0.0000,0.0000
Test 241,0.0000,0.0000,0.0000,0.0000
Test 242,0.0000,0.0000,0.0000,0.0000
Test 243,0.0000,0.0000,0.0000,0.0000
Test 244,0.0000,0.0000,0.0000,0.0000
Test 245,0.0000,0.0000,0.0000,0.0000
Test 246,0.0000,0.0000,0.0000,0.0000
Test 247,0.0000,0.0000,0.0000,0.0000
Test 248,0.0000,0.0000,0.0000,0.0000
Test 249,0.0000,0.0000,0.0000,0.0000
Test 250,0.0000,0.0000,0.0000,0.0000
Test 251,0.0000,0.0000,0.0000,0.0000
Test 252,0.5055,0.0000,0.0000,0.0000
Test 253,0.0000,0.0000,0.0000,0.0000
Test 254,0.0000,0.0000,0.0000,0.0000
Test 255,0.0000,0.0000,0.0000,0.0000
Test 256,0.5075,0.0000,0.0000,0.0000
Test 257,0.0000,0.0000,0.0000,0.0000
Test 258,0.0000,0.0000,0.0000,0.0000
Test 259,0.0000,0.0000,0.0000,0.0000
Test 260,0.0000,0.0000,0.0000,0.0000
Test 261,0.0000,0.0000,504500.0000,0.0000
Test 262,0.0000,0.0000,0.0000,0.0000
Test 263,0.0000,0.0000,0.0000,0.0000
Test 264,0.0000,0.0000,0.0000,0.0000
Test 265,0.0000,0.0000,0.0000,0.0000
Test 266,0.0000,0.0000,0.0000,0.0000
Test 267,0.0000,0.0000,0.0000,0.0000
Test 268,0.0000,0.0000,0.0000,0.0000
Test 269,0.0000,0.0000,0.0000,0.0000
Test 270,0.0000,0.0000,0.0000,0.0000
Test 271,0.0000,0.0000,0.0000,0.0000
Test 272,0.0000,0.0000,0.0000,0.0000
Test 273,0.0000,0.0000,0.0000,0.0000
Test 274,0.0000,0.0000,504800.0000,0.0000
Test 275,0.0000,0.0000,0.0000,0.0000
Test 276,0.0000,0.0000,0.0000,0.0000
Test 277,0.0000,0.0000,0.0000,0.0000
Test 278,0.0000,0.0000,0.0000,0.0000
Test 279,0.0000,0.0000,0.0000,0.0000
Test 280,0.0000,0.0000,0.0000,0.0000
Test 281,0.0000,0.0000,0.0000,0.0000
Test 282,0.0000,0.0000,0.0000,0.0000
Test 283,0.0000,0.0000,0.0000,0.0000
Test 284,0.0000,0.0000,0.0000,0.0000
Test 285,0.0000,0.0000,0.0000,0.0000
Test 286,0.0000,0.0000,0.0000,0.0000
Test 287,0.0000,0.0000,0.0000,0.0000
Test 288,0.5048,0.0000,0.0000,0.0000
Test 289,0.0000,0.0000,0.0000,0.0000
Test 290,0.0000,0.0000,0.0000,0.0000
Test 291,0.0000,0.0000,0.0000,0.0000
Test 292,0.0000,0.0000,0.0000,0.0000
Test 293,0.0000,0.0000,0.0000,0.0000
Test 294,0.0000,0.0000,504800.0000,0.0000
Test 295,0.0000,0.0000,0.0000,0.0000
Test 296,0.0000,0.0000,0.0000,0.0000
Test 297,0.0000,0.0000,0.0000,0.0000
Test 298,0.0000,0.0000,0.0000,0.0000
Test 299,0.0000,0.0000,0.0000,0.0000
Test 300,0.0000,0.0000,0.0000,0.0000
Test 301,0.0000,0.0000,0.0000,0.0000
Test 302,0.0000,0.0000,0.0000,0.0000
Test 303,0.0000,0.0000,0.0000,0.0000
Test 304,0.0000,0.0000,0.0000,0.0000
Test 305,0.0000,0.0000,0.0000,0.0000
Test 306,0.0000,0.0000,0.0000,0.0000
